mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
travaux publics,Jules,401,50480,116598,0.007943740095087163,0.0034391670526081066,-0.5448431605912631
prix,Février,400,56952,28173,0.007023458350891979,0.014197990984275726,1.3266779466646075
prix,Raynal,399,56952,4651,0.007005899705014749,0.0857880025800903,3.9217670453137567
travaux publics,Georges,397,50480,93379,0.007864500792393026,0.004251491234645906,-0.23893339152064694
chenal,Jules,396,1782,116598,0.2222222222222222,0.0033962846704060105,4.261197701381416
travaux publics,Jean,394,50480,50232,0.007805071315372425,0.007843605669692626,0.6446146521407261
prix,Esprit,394,56952,30501,0.006918106475628599,0.012917609258712829,1.1903302301460923
prix,Thomson,393,56952,12843,0.00690054782975137,0.0306003270263957,2.434538214956553
prix,Steeg,393,56952,5049,0.00690054782975137,0.0778371954842543,3.7814508738235237
prix,Faisant,391,56952,15762,0.00686543053799691,0.024806496637482554,2.1317091450685868
chenal,Georges,391,1782,93379,0.21941638608305275,0.004187236959059318,4.563238876991736
prix,Tondu,390,56952,1668,0.0068478718921196795,0.23381294964028776,5.368274073920969
prix,Royer,387,56952,4944,0.00679519595448799,0.07827669902912622,3.789574061856058
chenal,Charles,386,1782,86793,0.2166105499438833,0.0044473632666228845,4.650190564123984
rivière,Antonin,385,4363,7446,0.08824203529681413,0.051705613752350256,6.897666195885377
rivière,Alphonse,384,4363,5605,0.08801283520513409,0.06851025869759143,7.303665304182994
rivière,Sarrien,384,4363,6850,0.08801283520513409,0.05605839416058394,7.014275689140532
prix,Camille,382,56952,40165,0.00670740272510184,0.009510768081663139,0.7486249055876485
rivière,Préveraud,381,4363,1492,0.08732523493009398,0.25536193029490617,9.201816828392712
frais,Février,381,37259,28173,0.010225717276362758,0.013523586412522628,1.8686264966625745
chenal,Louis,376,1782,106741,0.21099887766554434,0.0035225452262954253,4.313858542900699
chenal,Paul,374,1782,131300,0.20987654320987653,0.0028484386900228483,4.0074116672292295
ligne,Février,373,24938,28173,0.01495709359210843,0.013239626592837114,2.4172543162494167
rivière,Révillon,372,4363,2616,0.08526243410497364,0.14220183486238533,8.357213446764575
chenal,Emile,372,1782,58742,0.20875420875420875,0.0063327772292397265,5.160078643357499
prix,Pierre,372,56952,64077,0.006531816266329541,0.005805515239477504,0.03648716091173133
chenal,Maurice,371,1782,60025,0.20819304152637486,0.006180758017492711,5.125024096624867
rivière,Aristide,369,4363,13283,0.08457483382993353,0.027779869005495745,6.001385067763022
compagnie,Février,368,41266,28173,0.008917753113943683,0.013062151705533667,1.6711766176490042
prix,Rousseau,366,56952,4308,0.006426464391066161,0.08495821727019498,3.9077446373558575
prix,Sonnier,364,56952,1905,0.006391347099311701,0.1910761154855643,5.077066691434034
chenal,Amédée,364,1782,9995,0.20426487093153758,0.03641820910455228,7.683828386575911
rivière,Thomas,362,4363,10824,0.08297043318817328,0.03344419807834442,6.269101224261295
rivière,Rouvier,362,4363,9494,0.08297043318817328,0.038129344849378556,6.4582470138084
prix,Rey,362,56952,8522,0.006356229807557241,0.04247829148087304,2.9077168845210086
rivière,Proust,361,4363,5638,0.08274123309649324,0.06402979780063853,7.206088725471376
rivière,Rivet,361,4363,6412,0.08274123309649324,0.05630068621334997,7.02049777788725
rivière,Raynal,358,4363,4651,0.08205363282145313,0.07697269404429155,7.471692013894272
prix,Rendu,357,56952,23037,0.006268436578171091,0.015496809480401094,1.452962364463169
prix,Tassin,357,56952,2797,0.006268436578171091,0.1276367536646407,4.4949630591689305
rivière,Peytral,357,4363,6745,0.08182443272977309,0.05292809488510007,6.931378997348097
réseau,Nord,357,17187,62683,0.020771513353115726,0.005695324091061373,1.7372697522027971
prix,Salis,356,56952,8822,0.006250877932293861,0.040353661301292226,2.833690719490203
prix,Vielfaure,356,56952,1345,0.006250877932293861,0.26468401486988846,5.547190307138433
prix,Sarrien,356,56952,6850,0.006250877932293861,0.05197080291970803,3.1986924918471686
rivière,Alfred,355,4363,18660,0.08136603254641302,0.01902465166130761,5.45521530980755
prix,Proust,355,56952,5638,0.006233319286416632,0.06296559063497695,3.4755547854376454
travaux publics,Esprit,354,50480,30501,0.007012678288431062,0.011606176846660765,1.2099185568179063
prix,Antonin,351,56952,7446,0.006163084702907712,0.047139403706688156,3.0579246530690702
travaux publics,Del,351,50480,29267,0.006953248811410459,0.011993029692144736,1.2572218998640345
prix,Edouard,351,56952,33410,0.006163084702907712,0.010505836575875487,0.8921821916982505
rivière,Royer,351,4363,4944,0.08044923217969287,0.07099514563106796,7.355065653554813
prix,Treille,350,56952,1778,0.006145526057030482,0.1968503937007874,5.1200188366185815
prix,Saint-Martin,347,56952,14957,0.0060928501193987916,0.02319983954001471,2.035105970934421
